"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"20-Aug-2003","     1280.80","     1292.95","     1280.80","     1287.40","      179404320","         2491.63"
"21-Aug-2003","     1288.20","     1304.15","     1287.00","     1300.95","      147954336","         2541.97"
"22-Aug-2003","     1301.50","     1319.45","     1298.80","     1311.15","      174012616","         2969.23"
"25-Aug-2003","     1311.95","     1332.55","     1245.85","     1271.10","      189194819","         3514.94"
"26-Aug-2003","     1270.20","     1322.95","     1269.50","     1318.20","      203044555","         3038.54"
"27-Aug-2003","     1318.75","     1346.30","     1318.75","     1340.30","      186171921","         3023.73"
"28-Aug-2003","     1340.20","     1349.00","     1328.35","     1341.05","      147158684","         3288.23"
"29-Aug-2003","     1341.20","     1365.80","     1340.80","     1356.55","      187820071","         3538.66"
"01-Sep-2003","     1356.70","     1379.40","     1356.65","     1375.95","      120487114","         2649.57"
"02-Sep-2003","     1375.95","     1388.95","     1366.90","     1385.45","      129850160","         2985.08"
"03-Sep-2003","     1387.20","     1394.95","     1353.60","     1359.35","      169287905","         3155.04"
"04-Sep-2003","     1358.90","     1382.60","     1355.80","     1372.70","      171389654","         3796.39"
"05-Sep-2003","     1373.00","     1400.90","     1372.75","     1398.40","      139876884","         3405.35"
"08-Sep-2003","     1398.40","     1420.25","     1398.35","     1417.35","      109014271","         2796.74"
"09-Sep-2003","     1417.80","     1430.70","     1397.65","     1407.05","      132144013","         3577.07"
"10-Sep-2003","     1407.00","     1414.10","     1389.65","     1409.55","      184176199","         3062.37"
"11-Sep-2003","     1409.65","     1422.40","     1399.60","     1403.15","      154182208","         3016.06"
"12-Sep-2003","     1405.55","     1415.65","     1367.15","     1372.10","      141936153","         3001.56"
"15-Sep-2003","     1371.75","     1371.85","     1322.65","     1329.25","      144295345","         2941.55"
"16-Sep-2003","     1330.15","     1362.10","     1299.50","     1357.95","      194591088","         4080.27"
"17-Sep-2003","     1357.95","     1377.45","     1332.20","     1341.60","      165349781","         3472.04"
"18-Sep-2003","     1341.45","     1342.60","     1299.25","     1302.35","      142763465","         3159.16"
"19-Sep-2003","     1303.20","     1331.05","     1285.25","     1322.15","      152262512","         3329.80"
"22-Sep-2003","     1319.25","     1333.55","     1300.25","     1302.90","      114650274","         2477.95"
"23-Sep-2003","     1302.85","     1333.70","     1290.55","     1328.20","      118684243","         2728.06"
"24-Sep-2003","     1324.85","     1373.90","     1322.65","     1372.05","      137395795","         3286.89"
"25-Sep-2003","     1371.45","     1377.25","     1352.80","     1357.20","      196918451","         3775.70"
"26-Sep-2003","     1357.55","     1389.30","     1357.35","     1386.95","      142165715","         2936.25"
"29-Sep-2003","     1386.90","     1422.35","     1386.10","     1399.95","      139656652","         2932.04"
"30-Sep-2003","     1400.70","     1418.10","     1399.80","     1417.10","      117562513","         2872.50"
"01-Oct-2003","     1416.60","     1430.90","     1407.95","     1420.85","      118748942","         2687.26"
"03-Oct-2003","     1420.85","     1451.20","     1420.85","     1449.30","      140535297","         3245.39"
"06-Oct-2003","     1449.45","     1481.05","     1423.75","     1478.90","      145928936","         3116.42"
"07-Oct-2003","     1478.95","     1498.45","     1467.75","     1477.85","      210467958","         3762.09"
"08-Oct-2003","     1477.85","     1493.05","     1460.60","     1478.60","      147781840","         3236.05"
"09-Oct-2003","     1487.85","     1505.05","     1478.40","     1502.10","      117870572","         2988.91"
"10-Oct-2003","     1507.10","     1527.25","     1505.10","     1523.10","      152851144","         3878.61"
"13-Oct-2003","     1523.35","     1550.90","     1516.05","     1546.75","      132233265","         3385.63"
"14-Oct-2003","     1548.70","     1562.85","     1513.75","     1520.80","      182174604","         4163.01"
"15-Oct-2003","     1521.45","     1543.85","     1503.00","     1537.00","      152159445","         3788.59"
"16-Oct-2003","     1537.30","     1563.40","     1537.30","     1555.70","      162780171","         4305.52"
"17-Oct-2003","     1565.20","     1574.10","     1552.15","     1569.45","      200565508","         4341.95"
"20-Oct-2003","     1569.70","     1574.10","     1536.50","     1542.70","      167970501","         3565.16"
"21-Oct-2003","     1546.20","     1549.65","     1496.95","     1506.50","      196133297","         4336.88"
"22-Oct-2003","     1506.75","     1522.65","     1483.00","     1494.10","      152764083","         3715.32"
"23-Oct-2003","     1494.75","     1503.00","     1466.25","     1470.45","      133913651","         3465.59"
"24-Oct-2003","     1485.80","     1512.55","     1434.75","     1506.05","      150857549","         3885.74"
"25-Oct-2003","     1506.05","     1533.05","     1506.05","     1521.95","       43192470","          931.76"
"27-Oct-2003","     1522.05","     1524.05","     1482.00","     1485.30","      135062137","         3067.34"
"28-Oct-2003","     1485.45","     1500.80","     1471.30","     1481.75","      138887809","         3705.95"
"29-Oct-2003","     1481.30","     1501.70","     1477.10","     1498.45","      134071278","         3415.49"
"30-Oct-2003","     1499.25","     1524.25","     1495.80","     1516.85","      202265871","         4455.25"
"31-Oct-2003","     1517.10","     1559.75","     1515.55","     1555.90","      154475544","         3908.81"
"03-Nov-2003","     1556.50","     1605.60","     1556.50","     1601.65","      151954886","         4375.47"
"04-Nov-2003","     1601.30","     1626.40","     1601.30","     1618.70","      205241333","         5100.61"
"05-Nov-2003","     1618.70","     1627.60","     1592.55","     1609.15","      151581079","         4212.11"
"06-Nov-2003","     1610.55","     1630.25","     1605.40","     1612.20","      174022088","         4036.51"
"07-Nov-2003","     1612.10","     1624.50","     1585.35","     1592.05","      138361140","         3112.46"
"10-Nov-2003","     1603.55","     1603.65","     1568.10","     1594.50","       62348347","         1742.77"
"11-Nov-2003","     1594.50","     1608.85","     1590.95","     1601.15","      108535273","         2970.77"
"12-Nov-2003","     1601.30","     1617.75","     1598.00","     1603.80","      107391704","         3089.25"
"13-Nov-2003","     1610.40","     1616.15","     1573.60","     1579.95","      108845195","         3184.99"
"14-Nov-2003","     1577.20","     1580.30","     1544.75","     1550.45","      109485525","         2999.87"
"15-Nov-2003","     1549.65","     1571.30","     1542.00","     1562.80","       37842102","          872.81"
"17-Nov-2003","     1563.10","     1584.75","     1554.40","     1579.90","       89944517","         2487.51"
"18-Nov-2003","     1579.15","     1591.25","     1557.20","     1564.40","      106234569","         2962.55"
"19-Nov-2003","     1563.95","     1564.00","     1534.35","     1540.60","      110695451","         3323.89"
"20-Nov-2003","     1542.85","     1558.15","     1517.90","     1522.30","      112465566","         2901.75"
