"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Mar-2019","      267.95","      271.10","      264.55","      269.20","       25529385","          531.63"
"01-Apr-2019","      269.65","      271.15","      266.50","      267.20","       22301493","          477.11"
"02-Apr-2019","      270.05","      274.95","      268.85","      273.40","       27779500","          818.20"
"03-Apr-2019","      273.90","      279.55","      271.50","      272.60","       41107720","         1074.23"
"04-Apr-2019","      273.90","      275.15","      269.55","      272.40","       19664656","          476.17"
"05-Apr-2019","      273.60","      278.40","      273.25","      276.00","       23662126","          712.55"
"08-Apr-2019","      277.50","      278.15","      268.95","      269.95","      130545006","         2459.97"
"09-Apr-2019","      270.15","      274.45","      268.05","      273.75","       56229151","          906.82"
"10-Apr-2019","      273.25","      281.45","      272.60","      276.85","       64930769","         1078.71"
"11-Apr-2019","      277.40","      280.70","      274.10","      274.85","       51373653","          853.93"
"12-Apr-2019","      274.70","      277.50","      274.50","      275.70","       36555517","          684.16"
"15-Apr-2019","      277.15","      281.00","      277.15","      280.25","       27759143","          585.80"
"16-Apr-2019","      281.80","      282.90","      276.55","      277.45","       30153570","          532.76"
"18-Apr-2019","      277.75","      278.10","      268.45","      270.40","       22776677","          423.40"
"22-Apr-2019","      269.40","      269.65","      263.00","      263.70","       33699112","          510.43"
"23-Apr-2019","      264.50","      266.90","      262.15","      263.15","       19183516","          333.44"
"24-Apr-2019","      263.95","      265.70","      262.90","      264.85","       42799474","          588.59"
"25-Apr-2019","      265.90","      268.10","      264.90","      265.70","       75166678","         1227.48"
"26-Apr-2019","      268.05","      268.65","      263.55","      264.40","       38515266","          640.48"
"30-Apr-2019","      263.70","      263.70","      255.90","      258.30","       35372877","          670.53"
"02-May-2019","      257.60","      260.15","      256.90","      258.60","       18589713","          357.03"
"03-May-2019","      260.00","      263.55","      259.85","      262.65","       21238986","          409.92"
"06-May-2019","      259.85","      261.75","      257.90","      258.80","       11077362","          211.60"
"07-May-2019","      260.15","      261.35","      255.20","      255.75","       15708297","          272.61"
"08-May-2019","      254.75","      255.40","      249.10","      250.35","       17311159","          289.77"
"09-May-2019","      249.90","      253.05","      248.70","      251.20","       14435538","          243.23"
"10-May-2019","      252.80","      255.20","      250.35","      251.20","       12995186","          252.87"
"13-May-2019","      250.20","      251.45","      245.45","      246.40","       12535636","          241.98"
"14-May-2019","      245.50","      249.55","      242.15","      248.30","       15216646","          263.09"
"15-May-2019","      249.50","      251.05","      247.20","      249.10","       13108396","          229.67"
"16-May-2019","      250.55","      252.85","      248.70","      251.85","       22786339","          339.39"
"17-May-2019","      252.05","      255.65","      251.40","      252.55","       13092614","          220.11"
"20-May-2019","      260.15","      268.05","      259.05","      267.00","       24578025","          445.87"
"21-May-2019","      267.75","      269.70","      263.95","      265.95","       19212360","          367.17"
"22-May-2019","      268.30","      272.05","      265.95","      266.95","       29832595","          535.37"
"23-May-2019","      270.95","      276.40","      266.70","      268.20","       34638869","          630.42"
"24-May-2019","      270.25","      280.95","      269.75","      280.10","       41139849","          739.13"
"27-May-2019","      280.35","      288.10","      280.10","      286.20","       23118956","          501.73"
"28-May-2019","      287.15","      287.40","      282.90","      286.55","       20088668","          471.88"
"29-May-2019","      286.50","      286.80","      283.05","      284.95","       14182628","          323.05"
"30-May-2019","      287.20","      287.55","      282.85","      284.60","       17552453","          340.41"
"31-May-2019","      285.20","      286.75","      279.20","      283.95","       19072314","          379.44"
"03-Jun-2019","      284.30","      287.40","      281.55","      286.75","       15164558","          291.14"
"04-Jun-2019","      286.45","      291.90","      284.40","      285.70","       22339841","          488.70"
"06-Jun-2019","      287.05","      287.10","      278.15","      280.70","       36626415","          585.77"
"07-Jun-2019","      282.65","      285.70","      277.45","      279.35","       44708402","          707.46"
"10-Jun-2019","      281.15","      282.95","      277.75","      280.20","       15800635","          287.87"
"11-Jun-2019","      279.95","      281.00","      276.85","      280.50","       16135047","          293.30"
"12-Jun-2019","      279.10","      279.45","      274.10","      274.75","       17191308","          298.14"
"13-Jun-2019","      273.75","      277.25","      273.00","      276.50","       25047184","          424.73"
"14-Jun-2019","      275.05","      275.45","      269.35","      270.70","       20301192","          355.71"
"17-Jun-2019","      270.90","      271.05","      266.30","      267.10","       16003274","          296.66"
"18-Jun-2019","      267.35","      269.25","      265.65","      267.30","       17256638","          284.19"
"19-Jun-2019","      269.00","      272.85","      263.75","      270.25","       40326133","          577.72"
"20-Jun-2019","      270.25","      276.35","      268.40","      275.45","       19081515","          371.46"
