"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2018","    24299.50","    24361.00","    24203.40","    24263.35","      183841858","         5211.90"
"02-Apr-2018","    24235.65","    24373.40","    24062.95","    24328.50","-","-"
"03-Apr-2018","    24285.95","    24538.00","    24254.35","    24510.60","-","-"
"04-Apr-2018","    24502.50","    24666.30","    24087.80","    24129.50","      126222576","         3124.06"
"05-Apr-2018","    24394.45","    24824.90","    24380.85","    24759.80","      133764907","         3277.00"
"06-Apr-2018","    24776.35","    24933.60","    24626.40","    24873.15","      160970708","         3373.86"
"09-Apr-2018","    24848.85","    25152.85","    24828.00","    25093.80","-","-"
"10-Apr-2018","    25153.60","    25279.90","    25120.20","    25226.80","      171760040","         4700.75"
"11-Apr-2018","    25198.35","    25207.05","    24950.30","    25098.25","      107073367","         2600.16"
"12-Apr-2018","    25076.90","    25244.80","    24969.40","    25195.10","      111777276","         2910.30"
"13-Apr-2018","    25239.65","    25411.30","    25076.85","    25200.60","      110293693","         3092.82"
"16-Apr-2018","    25082.10","    25348.55","    25067.35","    25320.85","       89034228","         2419.76"
"17-Apr-2018","    25383.75","    25402.55","    25224.00","    25334.45","       89721865","         2271.22"
"18-Apr-2018","    25426.75","    25426.75","    25058.75","    25102.30","-","-"
"19-Apr-2018","    25206.45","    25207.30","    25049.70","    25126.15","       95466036","         2862.17"
"20-Apr-2018","    25126.80","    25126.80","    24839.30","    24943.85","      109581669","         3213.87"
"23-Apr-2018","    25065.50","    25084.15","    24466.10","    24960.65","       82787891","         2792.74"
"24-Apr-2018","    24972.20","    25123.45","    24955.00","    25042.10","       87396011","         2569.82"
"25-Apr-2018","    24993.40","    24993.40","    24734.60","    24814.40","       81840418","         2183.16"
"26-Apr-2018","    24833.20","    25064.00","    24753.40","    25010.90","      173426201","         5472.93"
"27-Apr-2018","    25030.15","    25441.50","    25029.65","    25394.60","      232368278","         7611.56"
"30-Apr-2018","    25490.15","    25617.50","    25464.80","    25531.60","      124580678","         4038.16"
"02-May-2018","    25607.05","    25716.75","    25499.35","    25568.30","      117929750","         4671.44"
"03-May-2018","    25547.90","    25653.45","    25469.05","    25605.25","      100388024","         3153.73"
"04-May-2018","    25632.30","    25680.40","    25537.70","    25645.40","       97343104","         2601.08"
"07-May-2018","    25676.25","    25913.50","    25675.15","    25852.05","       92743092","         2919.95"
"08-May-2018","    26074.15","    26116.25","    25954.60","    26090.50","      198848914","         5933.21"
"09-May-2018","    25988.10","    26206.50","    25946.30","    26154.45","       96440863","         2809.40"
"10-May-2018","    26216.10","    26266.40","    26057.20","    26131.00","      214481883","         4182.07"
"11-May-2018","    26173.70","    26437.25","    26099.85","    26413.15","      109005797","         2559.59"
"14-May-2018","    26404.45","    26565.40","    26338.05","    26475.15","       97254252","         2350.74"
"15-May-2018","    26494.90","    26972.05","    26407.30","    26474.00","      150002630","         3797.98"
"16-May-2018","    26269.35","    26428.35","    26102.15","    26182.15","      232083519","         4137.85"
"17-May-2018","    26233.20","    26283.55","    26012.00","    26073.80","      126926383","         2743.08"
"18-May-2018","    26025.60","    26032.00","    25839.00","    25875.60","      113573727","         2898.79"
"21-May-2018","    26017.50","    26066.75","    25685.35","    25750.80","      120004208","         2859.70"
"22-May-2018","    25780.25","    25945.65","    25701.35","    25777.70","      179388885","         3854.09"
"23-May-2018","    25726.95","    25903.90","    25622.15","    25684.95","      170573849","         4225.48"
"24-May-2018","    25722.90","    26073.10","    25658.40","    26016.80","      110029603","         2831.27"
"25-May-2018","    26066.75","    26325.55","    26031.45","    26273.55","       98939554","         2451.82"
"28-May-2018","    26291.65","    26713.65","    26273.90","    26614.25","      136868774","         3135.71"
"29-May-2018","    26567.25","    26570.95","    26221.10","    26254.80","      106152966","         2563.90"
"30-May-2018","    26039.90","    26405.45","    25980.85","    26327.80","      118974102","         3093.10"
"31-May-2018","    26587.00","    27164.55","    26354.55","    26956.20","      318900279","         7879.98"
"01-Jun-2018","    26913.40","    26996.80","    26658.55","    26692.80","      132336254","         4017.91"
"04-Jun-2018","    27023.70","    27047.55","    26205.90","    26257.55","      137561064","         7188.74"
"05-Jun-2018","    26263.00","    26342.40","    26069.55","    26251.00","      107940100","         3169.87"
"06-Jun-2018","    26266.90","    26425.20","    26147.80","    26367.60","      144159415","         3007.56"
"07-Jun-2018","    26577.95","    26766.95","    26483.90","    26517.80","      131294980","         3421.62"
"08-Jun-2018","    26457.25","    26481.00","    26284.20","    26451.35","      115660362","         2840.81"
"11-Jun-2018","    26473.20","    26653.00","    26421.95","    26453.55","      144115066","         3245.59"
"12-Jun-2018","    26566.60","    26656.45","    26449.85","    26607.10","      132109351","         3130.92"
"13-Jun-2018","    26721.95","    26765.45","    26598.20","    26642.80","      116844183","         3247.43"
"14-Jun-2018","    26612.30","    26623.25","    26503.10","    26562.25","       99120546","         3053.24"
"15-Jun-2018","    26513.70","    26586.40","    26344.95","    26417.40","      147563095","         4291.75"
"18-Jun-2018","    26444.30","    26477.50","    26322.45","    26409.30","      101362059","         2768.39"
"19-Jun-2018","    26448.10","    26448.10","    26224.75","    26265.75","      112377787","         3350.41"
"20-Jun-2018","    26320.45","    26574.75","    26309.95","    26557.70","      105129754","         2731.02"
"21-Jun-2018","    26645.30","    26682.95","    26454.95","    26496.95","      122194668","         3194.16"
"22-Jun-2018","    26518.40","    26806.55","    26364.25","    26766.85","      127690793","         2984.13"
"25-Jun-2018","    26718.15","    26804.90","    26573.00","    26609.70","       89753825","         2294.57"
"26-Jun-2018","    26495.65","    26712.60","    26479.65","    26601.70","       97355424","         2542.42"
"27-Jun-2018","    26616.30","    26634.30","    26336.50","    26423.40","      124787831","         3704.42"
"28-Jun-2018","    26398.10","    26487.85","    26161.00","    26324.60","      242245847","         5891.37"
"29-Jun-2018","    26312.70","    26465.00","    26291.35","    26364.20","      128238510","         3866.66"
"02-Jul-2018","    26364.45","    26371.60","    26060.60","    26230.30","      174872280","         4472.48"
"03-Jul-2018","    26210.10","    26316.10","    26142.00","    26204.10","      104588044","         2547.80"
"04-Jul-2018","    26249.25","    26480.50","    26132.90","    26433.95","       82888322","         2201.98"
"05-Jul-2018","    26481.55","    26598.45","    26415.20","    26503.30","       91431872","         2632.52"
"06-Jul-2018","    26427.55","    26609.85","    26410.00","    26493.85","      120291139","         3037.92"
"09-Jul-2018","    26642.35","    26781.20","    26611.55","    26753.30","      101833058","         2986.56"
"10-Jul-2018","    26844.55","    26939.55","    26778.50","    26894.55","      103574099","         3700.96"
"11-Jul-2018","    26900.65","    26938.85","    26774.60","    26816.20","       91728787","         2611.23"
"12-Jul-2018","    26937.50","    27164.80","    26936.05","    27026.55","      108520112","         2970.49"
"13-Jul-2018","    27046.85","    27102.35","    26902.30","    26935.95","      102571130","         2814.78"
"16-Jul-2018","    26914.50","    26939.05","    26643.95","    26679.80","      105758457","         2848.73"
"17-Jul-2018","    26662.85","    27041.35","    26653.65","    27008.10","      217931631","         3847.03"
"18-Jul-2018","    27107.35","    27187.15","    26834.45","    26880.90","      192207622","         4231.03"
"19-Jul-2018","    26960.20","    27025.45","    26730.10","    26789.65","      130746919","         3820.62"
"20-Jul-2018","    26764.40","    26946.55","    26718.60","    26873.20","       84205472","         2800.09"
"23-Jul-2018","    26701.30","    27040.10","    26671.35","    27008.15","      125717272","         3638.84"
"24-Jul-2018","    26984.15","    27128.00","    26868.15","    26974.40","      115100157","         2833.32"
"25-Jul-2018","    26992.55","    27074.00","    26939.35","    27031.30","      100793998","         3015.78"
"26-Jul-2018","    27054.70","    27455.10","    27045.05","    27406.40","      256486512","         7635.50"
"27-Jul-2018","    27497.80","    27661.05","    27455.00","    27634.40","      215768964","         5073.75"
"30-Jul-2018","    27767.65","    27873.70","    27607.95","    27842.60","      308460689","         6975.01"
"31-Jul-2018","    27797.20","    27839.20","    27651.30","    27764.15","      185189252","         5102.60"
"01-Aug-2018","    27684.80","    27820.15","    27477.90","    27596.60","      152825700","         3734.84"
"02-Aug-2018","    27469.50","    27487.90","    27327.95","    27355.95","      119103729","         3215.97"
"03-Aug-2018","    27471.95","    27723.00","    27448.15","    27695.50","      164821344","         4529.27"
"06-Aug-2018","    27769.55","    27994.00","    27766.05","    27898.50","      184016610","         5115.36"
"07-Aug-2018","    27972.95","    27988.20","    27827.30","    27875.90","      249213872","         5160.75"
"08-Aug-2018","    27930.55","    28128.65","    27858.75","    28062.45","      149989901","         3628.81"
"09-Aug-2018","    28173.65","    28363.40","    28132.00","    28320.00","      254180287","         7260.85"
"10-Aug-2018","    28348.95","    28377.90","    28087.65","    28124.25","      285470698","         7773.78"
"13-Aug-2018","    27760.80","    27911.85","    27739.50","    27794.40","      165765211","         4690.84"
"14-Aug-2018","    27864.40","    28053.05","    27854.90","    28021.70","      116466884","         3336.18"
"16-Aug-2018","    27836.15","    28013.10","    27779.50","    27826.55","      185103463","         5983.13"
"17-Aug-2018","    27991.75","    28178.15","    27953.80","    28128.55","      156310659","         4475.50"
"20-Aug-2018","    28171.65","    28322.30","    28171.65","    28274.25","      177840658","         3902.35"
"21-Aug-2018","    28295.85","    28305.95","    28151.90","    28257.90","      142439166","         3981.61"
"23-Aug-2018","    28321.95","    28325.45","    27965.35","    28027.90","      133387354","         4353.40"
"24-Aug-2018","    27954.25","    28122.75","    27782.80","    27834.70","      169952869","         4734.87"
"27-Aug-2018","    27971.25","    28317.75","    27958.20","    28264.20","      146706980","         4960.34"
"28-Aug-2018","    28379.90","    28388.65","    28152.70","    28269.65","      144026112","         4298.92"
"29-Aug-2018","    28233.40","    28344.10","    28167.80","    28224.10","      168875762","         5230.80"
"30-Aug-2018","    28233.70","    28233.70","    27961.75","    28103.25","      186360757","         6092.45"
"31-Aug-2018","    27998.00","    28157.35","    27940.95","    28061.75","      229622699","         7069.12"
"03-Sep-2018","    28199.45","    28203.20","    27777.40","    27819.50","      127011210","         3746.12"
"04-Sep-2018","    27845.55","    27875.15","    27385.85","    27430.75","      165858496","         4714.18"
"05-Sep-2018","    27409.30","    27506.30","    27136.05","    27376.05","      131880484","         3854.47"
"06-Sep-2018","    27464.25","    27552.80","    27246.25","    27468.70","      120287292","         3808.19"
"07-Sep-2018","    27439.25","    27512.50","    27232.80","    27481.45","      144905496","         4409.73"
