"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"28-Mar-2019","     9172.20","     9235.25","     9126.90","     9199.40","       26759764","         1984.61"
"29-Mar-2019","     9243.10","     9366.65","     9240.80","     9346.55","       20443327","         1594.79"
"01-Apr-2019","     9367.60","     9416.95","     9353.65","     9375.40","       18363013","         1494.90"
"02-Apr-2019","     9419.25","     9425.95","     9272.40","     9296.95","       12632975","         1027.49"
"03-Apr-2019","     9312.25","     9341.25","     9163.50","     9180.30","       14752757","         1095.39"
"04-Apr-2019","     9193.30","     9278.70","     9181.65","     9263.40","       15405348","         1084.20"
"05-Apr-2019","     9314.30","     9332.10","     9259.45","     9271.55","       17342544","         1193.06"
"08-Apr-2019","     9292.10","     9329.40","     9219.00","     9243.90","       11969717","          880.21"
"09-Apr-2019","     9231.95","     9349.85","     9207.45","     9333.30","       13959730","         1022.79"
"10-Apr-2019","     9308.20","     9520.30","     9305.50","     9407.90","       19982125","         1568.68"
"11-Apr-2019","     9386.75","     9422.00","     9355.90","     9391.15","       13254343","         1030.96"
"12-Apr-2019","     9398.25","     9448.45","     9383.75","     9426.45","       18467844","         1399.20"
"15-Apr-2019","     9431.80","     9447.45","     9358.75","     9417.75","       10236197","          779.87"
"16-Apr-2019","     9460.10","     9474.10","     9410.20","     9417.80","       11477368","          959.54"
"18-Apr-2019","     9442.55","     9450.95","     9338.65","     9409.90","       11800745","          867.27"
"22-Apr-2019","     9392.25","     9410.65","     9260.95","     9285.45","        8009109","          682.79"
"23-Apr-2019","     9294.00","     9422.00","     9290.55","     9388.80","       17092800","         1268.96"
"24-Apr-2019","     9383.40","     9474.60","     9358.35","     9459.00","       12745317","         1062.77"
"25-Apr-2019","     9435.45","     9534.55","     9423.50","     9442.55","       21484970","         1748.06"
"26-Apr-2019","     9493.60","     9578.40","     9440.15","     9461.70","       21921119","         1979.60"
"30-Apr-2019","     9468.60","     9471.85","     9307.20","     9402.50","       21185486","         1599.08"
"02-May-2019","     9379.15","     9419.70","     9271.85","     9291.30","       17481482","         1331.83"
"03-May-2019","     9307.35","     9324.20","     9193.05","     9220.45","       15816220","         1071.61"
"06-May-2019","     9121.35","     9226.85","     9110.95","     9189.75","       15765872","         1015.66"
"07-May-2019","     9215.45","     9229.80","     9126.85","     9148.20","       14305996","         1074.58"
"08-May-2019","     9144.10","     9146.75","     8973.40","     9003.35","       16196918","         1094.69"
"09-May-2019","     8963.55","     9011.60","     8881.60","     8976.90","       16033512","         1165.73"
"10-May-2019","     8964.70","     9012.75","     8914.95","     8944.60","       12715708","          919.54"
"13-May-2019","     8904.80","     8906.40","     8244.65","     8553.50","       36660458","         1871.64"
